year,party,ranking,pre electoral support , electoral support (round 1), electoral support (round 2)
2002,LO,1,"0,09","0,0572",
2002,LCR,2,"0,005","0,0425",
2002,PCF,3,"0,055","0,0337",
2002,PS,4,"0,21","0,1618",
2002,PRG,5,"0,005","0,0232",
2002,LV,6,"0,055","0,0525",
2002,MDC,7,"0,1","0,0533",
2002,CAP21,8,"0,01","0,0188",
2002,CPNT,9,"0,015","0,0423",
2002,UDF,10,"0,04","0,0684",
2002,DL,11,"0,03","0,0391",
2002,RPR,12,"0,23","0,1988","0,8221"
2002,FRS,13,"0,01","0,0119",
2002,FN,14,"0,1","0,1686","0,1779"
2002,MNR,15,"0,015","0,0234",
2007,PT,1,"0,005","0,0034",
2007,LO,2,"0,02","0,0133",
2007,LCR,3,"0,03","0,0408",
2007,PCF,4,"0,02","0,0193",
2007,IND,5,"0,015","0,0132",
2007,VERTS,6,"0,01","0,0157",
2007,MPF,7,"0,01","0,0223",
2007,PS,8,"0,255","0,2587","0,4694"
2007,CPNT,9,"0,01","0,0115",
2007,UDF,10,"0,19","0,1857",
2007,UMP,11,"0,3","0,3118","0,5306"
2007,FN,12,"0,135","0,1044",
2012,LO,1,"0,0050","0,0056",
2012,FI,2,"0,1000","0,1110",
2012,PS,3,"0,2700","0,2863","0,5164"
2012,EELV,4,"0,0250","0,0231",
2012,MODEM,5,"0,1300","0,0913",
2012,UMP,6,"0,2850","0,2718","0,4836"
2012,DLF,7,"0,0100","0,0179",
2012,FN,8,"0,16","0,179",
2017,NPA,1,"0,0050","0,0109",
2017,LFI,2,"0,1150","0,2130",
2017,PS,3,"0,1250","0,0636",
2017,RE,4,"0,2600","0,2401","0,6610"
2017,LR,5,"0,1750","0,2001",
2017,DLF,6,"0,0350","0,0470",
2017,RN,7,"0,2700","0,2130","0,3390"
2022,NPA,1,"0,0100","0,0077",
2022,LO,2,"0,0050","0,0056",
2022,PCF,3,"0,0350","0,0228",
2022,LFI,4,"0,0900","0,2195",
2022,EELV,5,"0,0700","0,0463",
2022,PS,6,"0,0250","0,0175",
2022,RE,7,"0,2400","0,2785","0,585"
2022,LR,8,"0,155","0,0478",
2022,RES,9,"0,01","0,0313",
2022,DLF,10,"0,015","0,0206",
2022,RN,11,"0,15","0,2315","41,45"
2022,REC,12,"0,145","0,0707",
