election_year,spec,party,current_position_0_10,current_source,measured_0_10,bridge_prediction_0_10,clipped,final_position_0_10,final_source
2002,main,LO,"0,5",llm_coded,"1,941482523",,no,"1,941482523",cses_candidate_placement
2002,main,LCR,"0,7",llm_coded,,"1,755719941",no,"1,755719941",imputed_bridge_from_llm_coded
2002,main,PCF,"1,62",CHES,"2,170039788",,no,"2,170039788",cses_candidate_placement
2002,main,PS,"3,85",CHES,"3,331125451",,no,"3,331125451",cses_candidate_placement
2002,main,PRG,"3,62",CHES,,"4,002699744",no,"4,002699744",imputed_bridge_from_CHES
2002,main,LV,"2,65",CHES,"3,458563046",,no,"3,458563046",cses_candidate_placement
2002,main,MDC,"4,2",llm_coded,"4,547508141",,no,"4,547508141",cses_candidate_placement
2002,main,CAP21,5,llm_coded,,"5,064628556",no,"5,064628556",imputed_bridge_from_llm_coded
2002,main,CPNT,"7,3",llm_coded,,"6,834509908",no,"6,834509908",imputed_bridge_from_llm_coded
2002,main,UDF,"5,85",CHES,"5,912875684",,no,"5,912875684",cses_candidate_placement
2002,main,DL,"7,07",CHES,"6,399478114",,no,"6,399478114",cses_candidate_placement
2002,main,RPR,7,CHES,"7,391136688",,no,"7,391136688",cses_candidate_placement
2002,main,FRS,"7,5",llm_coded,,"6,988412634",no,"6,988412634",imputed_bridge_from_llm_coded
2002,main,FN,"9,92",CHES,"8,628785671",,no,"8,628785671",cses_candidate_placement
2002,main,MNR,"9,8",llm_coded,,"8,758293987",no,"8,758293987",imputed_bridge_from_llm_coded
2002,unscreened_means,LO,"0,5",llm_coded,"2,282648358",,no,"2,282648358",cses_candidate_placement
2002,unscreened_means,LCR,"0,7",llm_coded,,"2,195050665",no,"2,195050665",imputed_bridge_from_llm_coded
2002,unscreened_means,PCF,"1,62",CHES,"2,408565001",,no,"2,408565001",cses_candidate_placement
2002,unscreened_means,PS,"3,85",CHES,"3,582117754",,no,"3,582117754",cses_candidate_placement
2002,unscreened_means,PRG,"3,62",CHES,,"4,08574548",no,"4,08574548",imputed_bridge_from_CHES
2002,unscreened_means,LV,"2,65",CHES,"3,594019222",,no,"3,594019222",cses_candidate_placement
2002,unscreened_means,MDC,"4,2",llm_coded,"4,537560804",,no,"4,537560804",cses_candidate_placement
2002,unscreened_means,CAP21,5,llm_coded,,"4,97929303",no,"4,97929303",imputed_bridge_from_llm_coded
2002,unscreened_means,CPNT,"7,3",llm_coded,,"6,468538946",no,"6,468538946",imputed_bridge_from_llm_coded
2002,unscreened_means,UDF,"5,85",CHES,"5,812702794",,no,"5,812702794",cses_candidate_placement
2002,unscreened_means,DL,"7,07",CHES,"6,158502491",,no,"6,158502491",cses_candidate_placement
2002,unscreened_means,RPR,7,CHES,"7,290655199",,no,"7,290655199",cses_candidate_placement
2002,unscreened_means,FRS,"7,5",llm_coded,,"6,598038591",no,"6,598038591",imputed_bridge_from_llm_coded
2002,unscreened_means,FN,"9,92",CHES,"7,6317198",,no,"7,6317198",cses_candidate_placement
2002,unscreened_means,MNR,"9,8",llm_coded,,"8,087284507",no,"8,087284507",imputed_bridge_from_llm_coded
2002,party_items,LO,"0,5",llm_coded,"1,675134024",,no,"1,675134024",cses_party_placement
2002,party_items,LCR,"0,7",llm_coded,,"1,632283096",no,"1,632283096",imputed_bridge_from_llm_coded
2002,party_items,PCF,"1,62",CHES,"2,027191509",,no,"2,027191509",cses_party_placement
2002,party_items,PS,"3,85",CHES,"3,806816727",,no,"3,806816727",cses_party_placement
2002,party_items,PRG,"3,62",CHES,,"4,06726329",no,"4,06726329",imputed_bridge_from_CHES
2002,party_items,LV,"2,65",CHES,"3,673384238",,no,"3,673384238",cses_party_placement
2002,party_items,MDC,"4,2",llm_coded,"4,755383581",,no,"4,755383581",cses_party_placement
2002,party_items,CAP21,5,llm_coded,,"5,218041602",no,"5,218041602",imputed_bridge_from_llm_coded
2002,party_items,CPNT,"7,3",llm_coded,,"7,136005454",no,"7,136005454",imputed_bridge_from_llm_coded
2002,party_items,UDF,"5,85",CHES,"6,517702431",,no,"6,517702431",cses_party_placement
2002,party_items,DL,"7,07",CHES,"5,884326737",,no,"5,884326737",cses_party_placement
2002,party_items,RPR,7,CHES,"6,985027795",,no,"6,985027795",cses_party_placement
2002,party_items,FRS,"7,5",llm_coded,,"7,302784919",no,"7,302784919",imputed_bridge_from_llm_coded
2002,party_items,FN,"9,92",CHES,"9,68608763",,no,"9,68608763",cses_party_placement
2002,party_items,MNR,"9,8",llm_coded,,"9,220748771",no,"9,220748771",imputed_bridge_from_llm_coded
2022,main,NPA,"0,3",llm_coded,"1,4",,no,"1,4",ipsos_candidate_placement
2022,main,LO,"0,4",llm_coded,"1,2",,no,"1,2",ipsos_candidate_placement
2022,main,PCF,"1,7272727",CHES,"1,9",,no,"1,9",ipsos_candidate_placement
2022,main,LFI,"0,8181818",CHES,"1,6",,no,"1,6",ipsos_candidate_placement
2022,main,EELV,"2,3",CHES,"3,3",,no,"3,3",ipsos_candidate_placement
2022,main,PS,"3,4545455",CHES,"3,1",,no,"3,1",ipsos_candidate_placement
2022,main,RE,"6,2727275",CHES,"6,4",,no,"6,4",ipsos_candidate_placement
2022,main,LR,"7,7272725",CHES,"7,4",,no,"7,4",ipsos_candidate_placement
2022,main,RES,"5,8",llm_coded,"4,9",,no,"4,9",ipsos_candidate_placement
2022,main,DLF,"8,3",llm_coded,"7,8",,no,"7,8",ipsos_candidate_placement
2022,main,RN,"8,818182",CHES,"8,8",,no,"8,8",ipsos_candidate_placement
2022,main,REC,"9,727273",CHES,"9,1",,no,"9,1",ipsos_candidate_placement
2022,cses_party_items,NPA,"0,3",llm_coded,,"0,5702748726",no,"0,5702748726",imputed_bridge_from_llm_coded
2022,cses_party_items,LO,"0,4",llm_coded,,"0,6688685827",no,"0,6688685827",imputed_bridge_from_llm_coded
2022,cses_party_items,PCF,"1,7272727",CHES,,"1,977475981",no,"1,977475981",imputed_bridge_from_CHES
2022,cses_party_items,LFI,"0,8181818",CHES,"1,12170088",,no,"1,12170088",cses_party_placement
