year,item,measures,n_study,n_unweighted,n_weighted,n_effective,n_excluded,weighted_median,interpolated_median,weighted_mean,excluded_codes
2002,B3045,self-placement,1000,965,"964,733","916,3026011",35,5,"5,155373435","5,17774804",98:19;99:16
2002,B3038_A,RPR,1000,910,"910,1771","863,0585382",90,7,"6,985027795","6,674688475",98:77;99:13
2002,B3038_B,FN,1000,933,"932,4045","885,142834",67,10,"9,68608763","7,736018756",98:47;99:20
2002,B3038_C,PS,1000,956,"955,1208","906,9822787",44,4,"3,806816727","3,621345174",98:36;99:8
2002,B3038_D,UDF,1000,906,"904,1487","859,5414116",94,7,"6,517702431","6,356017213",98:81;99:13
2002,B3038_E,LO,1000,942,"942,9768","893,8470338",58,2,"1,675134024","2,284613895",98:47;99:11
2002,B3038_F,MDC,1000,773,"774,5156","731,9194672",227,5,"4,755383581","4,569722159",98:206;99:21
2002,B3038_G,LV,1000,943,"943,34","894,3754771",57,4,"3,673384238","3,579577353",98:46;99:11
2002,B3038_H,DL,1000,824,"825,654","780,7965497",176,6,"5,884326737","5,856960543",98:158;99:18
2002,B3038_I,PCF,1000,947,"946,3824","898,4061639",53,2,"2,027191509","2,406805748",98:42;99:11
2002,B3039_A,RPR,1000,970,"968,3577","920,4965957",30,8,"7,613221679","7,290655199",98:26;99:4
2002,B3039_B,FN,1000,945,"943,2758","896,2272557",55,10,"9,663576025","7,6317198",98:37;99:18
2002,B3039_C,PS,1000,970,"967,9746","920,5963311",30,4,"3,732170323","3,582117754",98:22;99:8
2002,B3039_D,UDF,1000,907,"906,6761","860,4401469",93,6,"5,86880653","5,812702794",98:78;99:15
2002,B3039_E,LO,1000,949,"947,9956","900,3017699",51,2,"1,85397813","2,282648358",98:40;99:11
2002,B3039_F,MDC,1000,922,"922,2047","874,3416136",78,5,"4,716346622","4,537560804",98:64;99:14
2002,B3039_G,LV,1000,935,"934,3366","887,6952991",65,4,"3,668238253","3,594019222",98:54;99:11
2002,B3039_H,DL,1000,894,"895,8345","847,4419374",106,6,"6,343588155","6,158502491",98:90;99:16
2002,B3039_I,PCF,1000,947,"946,0081","898,3545237",53,2,"2,207560061","2,408565001",98:42;99:11
2022,F3020_R,self-placement,1575,1526,1526,1526,49,5,"4,963636364","4,865006553",99:49
2022,F3020_A,RE,1575,1527,1527,1527,48,6,"6,319364162","6,371316306",99:48
2022,F3020_B,RN,1575,1532,1532,1532,43,10,"9,628555176","8,686031332",99:43
2022,F3020_C,LFI,1575,1526,1526,1526,49,1,"1,12170088","1,597640891",99:49
2022,F3020_D,REC,1575,1481,1481,1481,94,10,"9,594743276","8,008102633",99:94
2022,F3020_E,LR,1575,1531,1531,1531,44,8,"7,747070312","7,461136512",99:44
2022,F3020_F,EELV,1575,1534,1534,1534,41,3,"3,16576087","3,194915254",99:41
2022,F3020_G,PS,1575,1533,1533,1533,42,3,"2,912328767","2,945857795",99:42
