election_year,party,candidate,pct_0_1,pct_2_3,pct_4,pct_5,pct_6,pct_7_8,pct_9_10,pct_never_heard,pct_dont_know,pct_left_0_3,pct_centre_4_6,pct_right_7_10,mean_0_10
2022,LO,Nathalie Arthaud,59,12,2,5,1,2,1,2,16,71,8,3,"1,2"
2022,NPA,Philippe Poutou,56,13,3,6,1,2,1,1,17,69,10,3,"1,4"
2022,LFI,Jean-Luc Mélenchon,54,26,4,4,1,2,2,0,7,80,9,4,"1,6"
2022,PCF,Fabien Roussel,40,23,4,6,2,2,1,3,19,63,12,3,"1,9"
2022,PS,Anne Hidalgo,19,36,14,10,3,4,2,1,11,55,27,6,"3,1"
2022,EELV,Yannick Jadot,15,30,15,16,3,3,1,1,16,45,34,4,"3,3"
2022,RES,Jean Lassalle,5,12,7,25,9,12,3,1,26,17,41,15,"4,9"
2022,RE,Emmanuel Macron,2,3,4,23,17,31,13,0,7,5,44,44,"6,4"
2022,LR,Valérie Pécresse,2,2,2,6,8,48,22,1,9,4,16,70,"7,4"
2022,DLF,Nicolas Dupont-Aignan,2,3,2,7,6,26,38,1,15,5,15,64,"7,8"
2022,RN,Marine Le Pen,2,1,1,3,3,18,66,1,5,3,7,84,"8,8"
2022,REC,Eric Zemmour,2,1,1,2,2,10,73,2,7,3,5,83,"9,1"
