source,date,fieldwork,rolling,below_threshold,LO,LCR,PCF,PS,PRG,LV,MDC,CAP21,UDF,FRS,RPR,DL,CPNT,FN,MNR
BVA,18/04/2002,18 avril,no,,"0,08","0,035","0,05","0,18","0,02","0,05","0,06","0,01","0,06","0,01","0,19","0,05","0,04","0,14","0,02"
Ipsos,18/04/2002,17 et 18 avril,no,,"0,07","0,04","0,05","0,18","0,01","0,065","0,065","0,01","0,06","0,01","0,2","0,04","0,03","0,14","0,025"
Sofres,18/04/2002,17 et 18 avril,no,,"0,065","0,04","0,06","0,18","0,015","0,06","0,065","0,01","0,06","0,015","0,195","0,05","0,04","0,125","0,015"
CSA,18/04/2002,17 et 18 avril,no,,"0,07","0,03","0,05","0,18","0,025","0,05","0,065","0,015","0,06","0,015","0,195","0,035","0,04","0,14","0,025"
Louis Harris,17/04/2002,16 et 17 avril,no,,"0,08","0,02","0,05","0,18","0,01","0,07","0,06","0,01","0,07","0,02","0,2","0,05","0,03","0,13","0,02"
Ipsos,16/04/2002,15 et 16 avril,no,,"0,07","0,025","0,055","0,18","0,015","0,065","0,06","0,01","0,05","0,01","0,22","0,04","0,035","0,13","0,03"
Sofres,15/04/2002,du 13 au 15 avril,no,,"0,08","0,025","0,06","0,18","0,01","0,05","0,06","0,015","0,06","0,015","0,2","0,05","0,035","0,13","0,025"
Ifop,13/04/2002,12 et 13 avril,no,,"0,07","0,04","0,055","0,165","0,015","0,065","0,085","0,02","0,065","0,005","0,2","0,035","0,04","0,105","0,03"
BVA,13/04/2002,du 10 au 13 avril,no,,"0,09","0,02","0,05","0,18","0,015","0,06","0,06","0,015","0,06","0,01","0,185","0,05","0,04","0,14","0,02"
Ifop,12/04/2002,11 et 12 avril,no,,"0,08","0,035","0,055","0,17","0,02","0,07","0,08","0,02","0,065","0,005","0,19","0,035","0,045","0,095","0,03"
CSA,11/04/2002,10 et 11 avril,no,,"0,08","0,015","0,055","0,19","0,01","0,065","0,07","0,015","0,055","0,01","0,21","0,035","0,035","0,12","0,03"
Sofres,11/04/2002,10 et 11 avril,no,,"0,08","0,025","0,06","0,19","0,015","0,045","0,06","0,015","0,05","0,005","0,22","0,05","0,03","0,13","0,02"
Ipsos,06/04/2002,5 et 6 avril,no,,"0,11","0,01","0,05","0,19","0,005","0,05","0,085","0,01","0,05","0,005","0,23","0,035","0,035","0,12","0,015"
