source,date,fieldwork,rolling,below_threshold,LO,NPA,PCF,LFI,PS,EELV,RE,LR,RES,DLF,RN,REC
Ipsos,08/04/2022,8 avril,no,,"0,005","0,01","0,03","0,175","0,02","0,05","0,265","0,085","0,02","0,025","0,225","0,09"
Harris Interractive,08/04/2022,7-8 avril,no,,"0,005","0,01","0,025","0,18","0,02","0,045","0,27","0,08","0,02","0,02","0,24","0,085"
Elabe,08/04/2022,7-8 avril,no,,"0,005","0,01","0,025","0,175","0,02","0,04","0,26","0,08","0,025","0,025","0,25","0,085"
Cluster 17,08/04/2022,6-8 avril,no,,"0,005","0,01","0,025","0,18","0,02","0,04","0,26","0,095","0,03","0,03","0,21","0,095"
BVA,07/04/2022,6-7 avril,no,,"0,005","0,01","0,025","0,175","0,025","0,045","0,26","0,085","0,025","0,02","0,23","0,095"
OpinionWay,07/04/2022,6-7 avril,no,,0,"0,01","0,03","0,17","0,02","0,06","0,25","0,09","0,03","0,03","0,22","0,09"
Ipsos,07/04/2022,5-7 avril,yes,,"0,005","0,01","0,035","0,165","0,02","0,055","0,265","0,085","0,025","0,02","0,23","0,085"
YouGov,07/04/2022,4-7 avril,no,,"0,01","0,01","0,02","0,16","0,01","0,05","0,26","0,06","0,03","0,02","0,23","0,13"
OpinionWay,07/04/2022,4-7 avril,yes,,"0,01","0,01","0,03","0,17","0,02","0,05","0,26","0,09","0,03","0,02","0,22","0,09"
Ifop,07/04/2022,4-7 avril,yes,,"0,005","0,01","0,025","0,175","0,02","0,045","0,265","0,09","0,025","0,015","0,24","0,085"
Odoxa,06/04/2022,5-6 avril,no,,"0,01","0,01","0,03","0,16","0,02","0,05","0,28","0,07","0,03","0,02","0,24","0,08"
OpinionWay,06/04/2022,5-6 avril,no,,"0,01","0,01","0,03","0,16","0,02","0,05","0,26","0,09","0,03","0,03","0,22","0,09"
Atlas Politico,06/04/2022,4-6 avril,no,,"0,006","0,004","0,023","0,186","0,024","0,05","0,278","0,053","0,013","0,029","0,213","0,12"
OpinionWay,05/04/2022,4-5 avril,no,,0,"0,01","0,03","0,15","0,02","0,06","0,27","0,09","0,03","0,02","0,23","0,09"
Elabe,05/04/2022,4-5 avril,no,,"0,005","0,015","0,025","0,155","0,02","0,05","0,28","0,08","0,03","0,02","0,23","0,09"
Kantar,05/04/2022,4-5 avril,no,,"0,005","0,01","0,03","0,16","0,025","0,05","0,25","0,08","0,03","0,02","0,23","0,11"
Ipsos,05/04/2022,3-5 avril,yes,,"0,005","0,01","0,035","0,165","0,02","0,055","0,27","0,08","0,03","0,025","0,205","0,1"
OpinionWay,04/04/2022,3-4 avril,no,,"0,01","0,01","0,03","0,14","0,02","0,06","0,26","0,09","0,02","0,03","0,23","0,1"
Ipsos,04/04/2022,2-4 avril,no,,"0,005","0,01","0,035","0,16","0,02","0,06","0,265","0,085","0,025","0,02","0,215","0,1"
Cluster 17,04/04/2022,2-4 avril,no,,"0,005","0,01","0,025","0,17","0,02","0,04","0,26","0,1","0,03","0,03","0,2","0,11"
Harris Interractive,04/04/2022,1-4 avril,no,,"0,005","0,01","0,025","0,17","0,02","0,05","0,265","0,095","0,02","0,015","0,23","0,095"
OpinionWay,04/04/2022,1-4 avril,yes,LO,"0,005","0,01","0,03","0,14","0,02","0,06","0,28","0,09","0,03","0,03","0,22","0,09"
Ifop,04/04/2022,31 mars - 4 avril,yes,,"0,005","0,01","0,03","0,155","0,02","0,045","0,275","0,1","0,02","0,02","0,22","0,1"
Opinionway,03/04/2022,2-3 avril,no,LO,"0,005","0,01","0,04","0,14","0,02","0,06","0,27","0,1","0,03","0,02","0,22","0,09"
Ipsos,02/04/2022,30 mars - 2 avril,yes,,"0,005","0,015","0,03","0,155","0,02","0,06","0,26","0,095","0,025","0,015","0,21","0,11"
Ifop,01/04/2022,31 mars - 1er avril,no,,"0,005","0,01","0,035","0,15","0,02","0,05","0,27","0,09","0,025","0,02","0,22","0,105"
Elabe,01/04/2022,31 mars - 1er avril,no,,"0,005","0,015","0,035","0,15","0,015","0,045","0,285","0,085","0,025","0,025","0,22","0,095"
BVA,31/03/2022,30-31 mars,no,,"0,01","0,01","0,035","0,155","0,02","0,05","0,27","0,095","0,025","0,025","0,21","0,095"
Opinionway,31/03/2022,30-31 mars,no,,"0,01","0,01","0,04","0,15","0,02","0,05","0,27","0,1","0,03","0,03","0,21","0,1"
