source,date,LO,LCR,PCF,PS,PRG,LV,MDC,CAP21,UDF,FRS,RPR,DL,CPNT,FN,MNR
BVA,18/04/2002,"0,080","0,035","0,050","0,181","0,020","0,050","0,060","0,010","0,060","0,010","0,191","0,050","0,040","0,141","0,020"
Ipsos,18/04/2002,"0,070","0,040","0,050","0,181","0,010","0,065","0,065","0,010","0,060","0,010","0,201","0,040","0,030","0,141","0,025"
Sofres,18/04/2002,"0,065","0,040","0,060","0,181","0,015","0,060","0,065","0,010","0,060","0,015","0,196","0,050","0,040","0,126","0,015"
CSA,18/04/2002,"0,070","0,030","0,050","0,181","0,025","0,050","0,065","0,015","0,060","0,015","0,196","0,035","0,040","0,141","0,025"
Louis Harris,17/04/2002,"0,080","0,020","0,050","0,180","0,010","0,070","0,060","0,010","0,070","0,020","0,200","0,050","0,030","0,130","0,020"
Ipsos,16/04/2002,"0,070","0,025","0,055","0,181","0,015","0,065","0,060","0,010","0,050","0,010","0,221","0,040","0,035","0,131","0,030"
Sofres,15/04/2002,"0,080","0,025","0,060","0,181","0,010","0,050","0,060","0,015","0,060","0,015","0,201","0,050","0,035","0,131","0,025"
Ifop,13/04/2002,"0,070","0,040","0,055","0,166","0,015","0,065","0,085","0,020","0,065","0,005","0,201","0,035","0,040","0,106","0,030"
BVA,13/04/2002,"0,090","0,020","0,050","0,181","0,015","0,060","0,060","0,015","0,060","0,010","0,186","0,050","0,040","0,141","0,020"
Ifop,12/04/2002,"0,080","0,035","0,055","0,171","0,020","0,070","0,080","0,020","0,065","0,005","0,191","0,035","0,045","0,095","0,030"
CSA,11/04/2002,"0,080","0,015","0,055","0,191","0,010","0,065","0,070","0,015","0,055","0,010","0,211","0,035","0,035","0,121","0,030"
Sofres,11/04/2002,"0,080","0,025","0,060","0,191","0,015","0,045","0,060","0,015","0,050","0,005","0,221","0,050","0,030","0,131","0,020"
Ipsos,06/04/2002,"0,110","0,010","0,050","0,190","0,005","0,050","0,085","0,010","0,050","0,005","0,230","0,035","0,035","0,120","0,015"
Ifop,06/04/2002,"0,086","0,010","0,051","0,177","0,010","0,081","0,081","0,015","0,051","0,010","0,212","0,035","0,040","0,131","0,010"
BVA,06/04/2002,"0,111","0,010","0,050","0,201","0,010","0,065","0,060","0,015","0,050","0,005","0,201","0,035","0,035","0,121","0,030"
CSA,04/04/2002,"0,085","0,010","0,040","0,186","0,005","0,085","0,080","0,015","0,045","0,015","0,221","0,030","0,050","0,116","0,015"
Sofres,04/04/2002,"0,090","0,005","0,060","0,191","0,010","0,055","0,070","0,010","0,040","0,015","0,241","0,040","0,040","0,121","0,010"
Ipsos,30/03/2002,"0,102","0,010","0,051","0,204","0,005","0,051","0,082","0,005","0,051","0,010","0,245","0,031","0,036","0,102","0,015"
Louis Harris,30/03/2002,"0,102","0,010","0,061","0,214","0,005","0,061","0,082","0,010","0,046","0,015","0,214","0,036","0,031","0,102","0,010"
BVA,30/03/2002,"0,112","0,005","0,061","0,204","0,005","0,066","0,066","0,005","0,051","0,010","0,204","0,041","0,020","0,133","0,015"
Ifop,29/03/2002,"0,104","0,010","0,047","0,212","0,010","0,073","0,093","0,010","0,057","0,005","0,218","0,021","0,026","0,104","0,010"
CSA,28/03/2002,"0,092","0,010","0,051","0,204","0,005","0,051","0,092","0,010","0,046","0,015","0,204","0,036","0,046","0,122","0,015"
