source,date,NPA,LO,PCF,LFI,EELV,PS,RE,LR,RES,DLF,RN,REC
Ipsos,08/04/2022,"0,01","0,01","0,030","0,175","0,020","0,050","0,265","0,085","0,020","0,025","0,225","0,090"
Harris Interractive,08/04/2022,"0,01","0,01","0,025","0,180","0,020","0,045","0,270","0,080","0,020","0,020","0,240","0,085"
Elabe,08/04/2022,"0,01","0,01","0,025","0,175","0,020","0,040","0,260","0,080","0,025","0,025","0,250","0,085"
Cluster 17,08/04/2022,"0,01","0,01","0,025","0,180","0,020","0,040","0,260","0,095","0,030","0,030","0,210","0,095"
BVA,07/04/2022,"0,01","0,01","0,025","0,175","0,025","0,045","0,260","0,085","0,025","0,020","0,230","0,095"
OpinionWay,07/04/2022,"0,00","0,01","0,030","0,170","0,020","0,060","0,250","0,090","0,030","0,030","0,220","0,090"
Ipsos,07/04/2022,"0,01","0,01","0,035","0,165","0,020","0,055","0,265","0,085","0,025","0,020","0,230","0,085"
YouGov,07/04/2022,"0,01","0,01","0,020","0,162","0,010","0,051","0,263","0,061","0,030","0,020","0,232","0,131"
OpinionWay,07/04/2022,"0,01","0,01","0,030","0,170","0,020","0,050","0,260","0,090","0,030","0,020","0,220","0,090"
Ifop,07/04/2022,"0,01","0,01","0,025","0,175","0,020","0,045","0,265","0,090","0,025","0,015","0,240","0,085"
Odoxa,06/04/2022,"0,01","0,01","0,030","0,160","0,020","0,050","0,280","0,070","0,030","0,020","0,240","0,080"
OpinionWay,06/04/2022,"0,01","0,01","0,030","0,160","0,020","0,050","0,260","0,090","0,030","0,030","0,220","0,090"
Atlas Politico,06/04/2022,"0,01","0,00","0,023","0,186","0,024","0,050","0,278","0,053","0,013","0,029","0,213","0,120"
OpinionWay,05/04/2022,"0,00","0,01","0,030","0,150","0,020","0,060","0,270","0,090","0,030","0,020","0,230","0,090"
Elabe,05/04/2022,"0,01","0,02","0,025","0,155","0,020","0,050","0,280","0,080","0,030","0,020","0,230","0,090"
Kantar,05/04/2022,"0,01","0,01","0,030","0,160","0,025","0,050","0,250","0,080","0,030","0,020","0,230","0,110"
Ipsos,05/04/2022,"0,01","0,01","0,035","0,165","0,020","0,055","0,270","0,080","0,030","0,025","0,205","0,100"
OpinionWay,04/04/2022,"0,01","0,01","0,030","0,140","0,020","0,060","0,260","0,090","0,020","0,030","0,230","0,100"
Ipsos,04/04/2022,"0,01","0,01","0,035","0,160","0,020","0,060","0,265","0,085","0,025","0,020","0,215","0,100"
Cluster 17,04/04/2022,"0,01","0,01","0,025","0,170","0,020","0,040","0,260","0,100","0,030","0,030","0,200","0,110"
Harris Interractive,04/04/2022,"0,01","0,01","0,025","0,170","0,020","0,050","0,265","0,095","0,020","0,015","0,230","0,095"
OpinionWay,04/04/2022,"0,005","0,010","0,030","0,139","0,020","0,060","0,279","0,090","0,030","0,030","0,219","0,090"
Ifop,04/04/2022,"0,005","0,010","0,030","0,155","0,020","0,045","0,275","0,100","0,020","0,020","0,220","0,100"
Opinionway,03/04/2022,"0,005","0,010","0,040","0,139","0,020","0,060","0,269","0,100","0,030","0,020","0,219","0,090"
Ipsos,02/04/2022,"0,005","0,015","0,030","0,155","0,020","0,060","0,260","0,095","0,025","0,015","0,210","0,110"
Ifop,01/04/2022,"0,005","0,010","0,035","0,150","0,020","0,050","0,270","0,090","0,025","0,020","0,220","0,105"
Elabe,01/04/2022,"0,005","0,015","0,035","0,150","0,015","0,045","0,285","0,085","0,025","0,025","0,220","0,095"
BVA,31/03/2022,"0,010","0,010","0,035","0,155","0,020","0,050","0,270","0,095","0,025","0,025","0,210","0,095"
Opinionway,31/03/2022,"0,010","0,010","0,039","0,147","0,020","0,049","0,265","0,098","0,029","0,029","0,206","0,098"
Cluster 17,31/03/2022,"0,005","0,010","0,030","0,160","0,020","0,050","0,270","0,100","0,025","0,030","0,180","0,120"
YouGov,31/03/2022,"0,000","0,010","0,020","0,150","0,010","0,060","0,270","0,090","0,030","0,020","0,250","0,090"
OpinionWay,31/03/2022,"0,010","0,010","0,030","0,150","0,020","0,050","0,280","0,100","0,030","0,020","0,200","0,100"
Ifop,31/03/2022,"0,005","0,005","0,040","0,155","0,015","0,045","0,280","0,100","0,020","0,015","0,210","0,110"
Ipsos,30/03/2022,"0,005","0,010","0,030","0,155","0,020","0,060","0,275","0,090","0,020","0,025","0,200","0,110"
Elabe,30/03/2022,"0,005","0,015","0,025","0,155","0,020","0,040","0,280","0,095","0,025","0,025","0,210","0,105"
Ipsos,30/03/2022,"0,005","0,015","0,030","0,155","0,015","0,060","0,270","0,090","0,020","0,020","0,205","0,115"
OpinionWay,28/03/2022,"0,010","0,010","0,030","0,140","0,020","0,050","0,280","0,110","0,030","0,020","0,200","0,100"
Harris Interractive,28/03/2022,"0,005","0,010","0,030","0,150","0,025","0,050","0,285","0,095","0,020","0,020","0,210","0,100"
Ifop,28/03/2022,"0,005","0,005","0,035","0,140","0,025","0,050","0,280","0,110","0,015","0,015","0,210","0,110"
OpinionWay,27/03/2022,"0,010","0,010","0,040","0,140","0,020","0,060","0,270","0,100","0,030","0,020","0,200","0,100"
Ipsos,26/03/2022,"0,005","0,010","0,035","0,145","0,025","0,060","0,285","0,100","0,025","0,025","0,175","0,110"
OpinionWay,24/03/2022,"0,010","0,010","0,040","0,140","0,020","0,060","0,270","0,110","0,020","0,020","0,200","0,100"
Ipsos,24/03/2022,"0,005","0,015","0,035","0,140","0,020","0,070","0,280","0,100","0,025","0,020","0,175","0,115"
Ifop,24/03/2022,"0,005","0,005","0,035","0,140","0,020","0,045","0,285","0,115","0,020","0,015","0,200","0,115"
OpinionWay,24/03/2022,"0,010","0,010","0,040","0,140","0,020","0,050","0,280","0,120","0,030","0,010","0,200","0,090"
OpinionWay,23/03/2022,"0,010","0,010","0,040","0,140","0,020","0,060","0,280","0,110","0,020","0,020","0,190","0,100"
BVA,23/03/2022,"0,005","0,015","0,030","0,145","0,020","0,060","0,280","0,105","0,025","0,015","0,190","0,110"
Kantar,23/03/2022,"0,010","0,010","0,030","0,140","0,020","0,045","0,290","0,100","0,020","0,025","0,200","0,110"
Ipsos,23/03/2022,"0,010","0,010","0,040","0,125","0,020","0,070","0,295","0,095","0,025","0,015","0,185","0,110"
Opinionway,22/03/2022,"0,010","0,020","0,030","0,140","0,020","0,050","0,290","0,120","0,020","0,020","0,180","0,100"
Opinionway,21/03/2022,"0,010","0,020","0,030","0,140","0,020","0,060","0,280","0,120","0,020","0,020","0,180","0,100"
Elabe,21/03/2022,"0,005","0,015","0,035","0,150","0,015","0,045","0,275","0,100","0,030","0,030","0,200","0,100"
Harris Interractive,21/03/2022,"0,005","0,010","0,030","0,140","0,025","0,050","0,295","0,100","0,020","0,020","0,195","0,110"
OpinionWay,21/03/2022,"0,010","0,010","0,040","0,130","0,030","0,050","0,290","0,130","0,020","0,020","0,180","0,090"
