specification,year,K,party,block,position,actual_share,first_signal_share,mean_final_share,error_final_minus_actual,p05_final_share,p95_final_share,prob_top2,prob_top3
nearest,2002,15,CAP21,center,0.0,0.018884982419055747,0.006666666666666667,7.5e-05,-0.018809982419055748,0.0,0.0005,0.0,0.0
nearest,2002,15,CPNT,right,0.45999999999999996,0.042491210447875426,0.029666666666666664,0.0041516666666666655,-0.03833954378120876,0.0,0.028525000000000005,0.0,0.0
nearest,2002,15,DL,right,0.41400000000000015,0.03927674534803616,0.03466666666666667,9.166666666666668e-05,-0.039185078681369494,0.0,0.0,0.0,0.0
nearest,2002,15,FN,far_right,0.984,0.16936212959153185,0.09666666666666666,0.03997333333333336,-0.1293887962581985,0.03145,0.05755000000000001,0.0,0.0
nearest,2002,15,FRS,right,0.5,0.011953792059402307,0.008666666666666666,0.06624666666666668,0.05429287460726437,0.045125000000000005,0.08,0.0,0.0
nearest,2002,15,LCR,far_left,-0.86,0.042692114517865386,0.006666666666666667,0.025373333333333352,-0.017318781184532034,0.0,0.0545,0.0,0.0
nearest,2002,15,LO,far_left,-0.9,0.05745856353712706,0.08666666666666667,0.08229999999999989,0.024841436462872825,0.071975,0.0935,0.0033333333333333335,0.01
nearest,2002,15,LV,left,-0.47,0.05273731792736312,0.06266666666666666,0.13794500000000012,0.085207682072637,0.120475,0.152025,0.9333333333333333,0.9866666666666667
nearest,2002,15,MDC,left,-0.15999999999999992,0.05354093419732294,0.09733333333333333,0.31766999999999973,0.2641290658026768,0.298475,0.337025,1.0,1.0
nearest,2002,15,MNR,far_right,0.9600000000000002,0.02350577598882471,0.011999999999999999,0.019784999999999994,-0.0037207759888247156,0.0005,0.0275,0.0,0.0
nearest,2002,15,PCF,left,-0.6759999999999999,0.03385233550830737,0.055333333333333325,0.026516666666666654,-0.007335668841640719,0.0,0.06302500000000001,0.0,0.0
nearest,2002,15,PRG,left,-0.276,0.023304871918834753,0.005,0.11638166666666651,0.09307679474783176,0.103,0.131,0.06333333333333334,0.99
nearest,2002,15,PS,left,-0.22999999999999998,0.16253139129187338,0.22833333333333336,0.0025249999999999986,-0.16000639129187338,0.0,0.014550000000000013,0.0,0.0
nearest,2002,15,RPR,right,0.3999999999999999,0.19969864389001502,0.23166666666666666,0.07988333333333329,-0.11981531055668172,0.07,0.0905,0.0,0.013333333333333334
nearest,2002,15,UDF,center,0.16999999999999993,0.06870919135656453,0.038,0.0810816666666667,0.012372475310102174,0.072,0.0915,0.0,0.0
nearest,2022,12,DLF,right,0.6600000000000001,0.020604120824164834,0.019444444444444445,0.00014333333333333337,-0.0204607874908315,0.0,0.0005,0.0,0.0
nearest,2022,12,EELV,left,-0.54,0.04630926185237048,0.021666666666666667,0.005466666666666654,-0.04084259518570382,0.0,0.018,0.0,0.0
nearest,2022,12,LFI,left,-0.8363636400000001,0.21954390878175636,0.11499999999999999,0.04657833333333332,-0.17296557544842306,0.031,0.08570000000000016,0.006666666666666667,0.006666666666666667
nearest,2022,12,LO,far_left,-0.92,0.005601120224044809,0.012222222222222223,0.0017733333333333334,-0.0038277868907114756,0.0,0.012050000000000012,0.0,0.0
nearest,2022,12,LR,right,0.5454545,0.04780956191238248,0.11555555555555556,0.12609666666666666,0.07828710475428419,0.114,0.138,0.0,0.01
nearest,2022,12,NPA,far_left,-0.94,0.007701540308061613,0.007777777777777778,0.01898499999999999,0.011283459691938377,0.0,0.0305,0.0,0.0
nearest,2022,12,PCF,left,-0.65454546,0.02280456091218244,0.035555555555555556,0.06717833333333338,0.04437377242115094,0.0448,0.0825,0.0,0.0
nearest,2022,12,PS,left,-0.30909089999999995,0.01750350070014003,0.05388888888888889,0.16388333333333321,0.14637983263319318,0.149475,0.179525,0.8333333333333334,0.9933333333333333
nearest,2022,12,RE,center,0.2545455000000001,0.2785557111422285,0.3061111111111111,0.1526816666666667,-0.1258740444755618,0.1395,0.165525,0.16,0.99
nearest,2022,12,REC,far_right,0.9454546000000001,0.07071414282856572,0.11833333333333333,0.05054166666666669,-0.02017247616189903,0.042,0.059,0.0,0.0
nearest,2022,12,RES,right,0.15999999999999992,0.03130626125225045,0.020555555555555556,0.3279716666666666,0.29666540541441616,0.31,0.34504999999999997,1.0,1.0
nearest,2022,12,RN,far_right,0.7636364,0.2315463092618524,0.17388888888888887,0.03869999999999996,-0.19284630926185245,0.031,0.0465,0.0,0.0
prob_prior,2002,15,CAP21,center,0.0,0.018884982419055747,0.006666666666666667,0.006008749999999977,-0.01287623241905577,0.0,0.0105,0.0,0.0
prob_prior,2002,15,CPNT,right,0.45999999999999996,0.042491210447875426,0.029666666666666664,0.01573749999999997,-0.026753710447875455,0.0,0.04404999999999995,0.0,0.0
prob_prior,2002,15,DL,right,0.41400000000000015,0.03927674534803616,0.03466666666666667,0.01581187499999999,-0.023464870348036168,0.0055,0.025,0.0,0.0
prob_prior,2002,15,FN,far_right,0.984,0.16936212959153185,0.09666666666666666,0.040840000000000085,-0.12852212959153175,0.031,0.0585,0.0,0.0
prob_prior,2002,15,FRS,right,0.5,0.011953792059402307,0.008666666666666666,0.01757312500000002,0.005619332940597712,0.0015,0.073,0.0,0.0
prob_prior,2002,15,LCR,far_left,-0.86,0.042692114517865386,0.006666666666666667,0.025626249999999993,-0.017065864517865393,0.0,0.0555,0.0,0.0
prob_prior,2002,15,LO,far_left,-0.9,0.05745856353712706,0.08666666666666667,0.0858268750000002,0.028368311462873143,0.073475,0.104,0.00125,0.01375
prob_prior,2002,15,LV,left,-0.47,0.05273731792736312,0.06266666666666666,0.132100625,0.07936330707263688,0.0575,0.169,0.705,0.75375
prob_prior,2002,15,MDC,left,-0.15999999999999992,0.05354093419732294,0.09733333333333333,0.15523625,0.10169531580267704,0.097,0.321,0.2575,0.85875
prob_prior,2002,15,MNR,far_right,0.9600000000000002,0.02350577598882471,0.011999999999999999,0.018258750000000008,-0.005247025988824702,0.0,0.0275,0.0,0.0
