variant,year,K,n_draws,tau_absolute_min,tau_absolute_max,metric,mean,sd,p05,p50,p95
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,cliff_magnitude,0.11856000000000001,0.025852659437667146,0.063425,0.121,0.14257500000000004
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,cliff_ratio,0.9240175734549797,0.02204549460979031,0.8710943818950114,0.9303272924102304,0.9440259721101261
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,conditional_switching_rate,0.3109889156143055,0.2535900892647037,0.0,0.38733031674208146,0.7707117652712369
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,delta_cenp,-0.021073674941495302,0.04228585788406498,-0.1171949322276544,-0.014078758498537125,0.0
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,delta_enp,0.2950314491809342,0.5920020103769096,0.0,0.19710261897951975,1.6407290511871615
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,enp_final,7.761652030392515,0.5989270692490801,7.297408791169504,7.683102746508239,8.907857694393648
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,enp_sincere,7.46662058121158,0.1734358185418301,7.180359604511377,7.46318866782722,7.74678148453357
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,mae,0.06686767219401105,0.0047771072206694255,0.059111170268298104,0.06627520509234958,0.07399323623192698
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,rmse,0.08386014181110174,0.006637523912829081,0.07220254300913094,0.08301550640881342,0.0932590378692594
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,switching_rate,0.16361499999999998,0.12977046276040824,0.0,0.21975,0.32587499999999997
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,top2_acc,0.0,0.0,0.0,0.0,0.0
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,top3_acc,0.0,0.0,0.0,0.0,0.0
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,top4_acc,0.0,0.0,0.0,0.0,0.0
individual_signals,2002,15,100,0.06799044297046607,0.3995835833810141,trigger_rate,0.48993,0.18674336925201912,0.155475,0.56975,0.684575
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,cliff_magnitude,0.07816999999999999,0.017732185540434774,0.04697499999999999,0.07675,0.10715000000000001
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,cliff_ratio,0.8389848327925813,0.04752860317537277,0.7368090971225993,0.8458485118228367,0.9010055153992085
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,conditional_switching_rate,0.2604862274652312,0.23592179707709476,0.0,0.23158429585038087,0.7540177156848624
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,delta_cenp,0.05333683988330812,0.0658561531257525,-0.0183926979056422,0.03633342025638883,0.1812009143724958
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,delta_enp,-0.5867052387163894,0.7244176843832777,-1.9932100580974537,-0.3996676228202771,0.20231967696206424
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,enp_final,7.314890751407055,0.7347095422447772,5.848943123538362,7.537058812503005,8.136361926065428
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,enp_sincere,7.901595990123444,0.13747713678214518,7.673414610409237,7.899050142301142,8.123466956831491
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,mae,0.09696678369007136,0.008542753148423619,0.08213658314996333,0.09729452557178103,0.1072644353870774
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,rmse,0.122120937466422,0.006686158066821968,0.11085638029829838,0.12295558548224336,0.13050121440991908
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,switching_rate,0.13772500000000001,0.11050113978570263,0.0,0.14150000000000001,0.30384999999999995
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,top2_acc,0.0,0.0,0.0,0.0,0.0
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,top3_acc,0.0,0.0,0.0,0.0,0.0
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,top4_acc,0.0,0.0,0.0,0.0,0.0
individual_signals,2022,12,100,0.08498805371308257,0.49947947922626756,trigger_rate,0.5317550000000001,0.1733067359401308,0.364575,0.40425,0.854525
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,cliff_magnitude,0.113875,0.027847199866486406,0.0753,0.11825,0.1472
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,cliff_ratio,0.9144866366561786,0.02814420679883686,0.8683075825643517,0.9229682051790524,0.9419835839019336
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,conditional_switching_rate,0.22393891191297344,0.2309283778056191,0.0,0.11606725231677727,0.6011427598009698
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,delta_cenp,-0.009556608419699988,0.03947740070905664,-0.07652284099841282,-0.0029191434333438737,0.006881529927669926
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,delta_enp,0.13379251787579988,0.5526836099267929,-0.09634141898737933,0.0408680080668149,1.0713197739777796
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,enp_final,7.366016630353539,0.6555526503188914,6.029015733202885,7.484189777749583,8.238234161526673
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,enp_sincere,7.2322241124777396,0.4198201889671724,6.310701675590469,7.297434734511791,7.7127973860947066
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,mae,0.06584083911164548,0.008022016696238305,0.054083216140571676,0.06504443328565443,0.0805753105667484
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,rmse,0.0833399672900605,0.009380790150158889,0.06927585988226395,0.08229737396197984,0.10015519674587438
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,switching_rate,0.11840000000000002,0.1258741154061983,0.0,0.056,0.31494999999999995
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,top2_acc,0.0,0.0,0.0,0.0,0.0
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,top3_acc,0.0,0.0,0.0,0.0,0.0
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,top4_acc,0.0,0.0,0.0,0.0,0.0
perturbed_imputed_positions,2002,15,100,0.06799044297046607,0.3995835833810141,trigger_rate,0.497045,0.19653846739675837,0.15545,0.5694999999999999,0.7826
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,cliff_magnitude,0.078405,0.018200718017804582,0.04842500000000002,0.0775,0.10715000000000001
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,cliff_ratio,0.8389407766979151,0.049886409148204226,0.7497567513039863,0.8489062243726422,0.900993351886209
perturbed_imputed_positions,2022,12,100,0.08498805371308257,0.49947947922626756,conditional_switching_rate,0.26255163017609084,0.2408570342705369,0.0,0.22908976712725868,0.7540962016414535
