config_id,K,c_stratum,tau_hat,c,theta,rho_s,rho_pi,alpha,mu,epsilon,outcome,statistic,interval,span_iterations,n_seeds,mean_signed_change,mean_abs_change,sd_change,se_change,ci95_lo,ci95_hi,t_stat,p_value,q_value,ci_excludes_zero,significant_bh,mean_signed_change_per_iteration,mean_abs_change_per_iteration
K6-high-r00002,6,high,0.503662,2.09631,1.50894,102.495,113.64,0.759814,0.241699,0.314331,delta_cenp,endpoint,T25_T100,75,8,-6.98161e-05,0.000121932,0.000186636,6.59859e-05,-0.000225848,8.62157e-05,-1.05805,0.325174,0.71249,False,False,-9.30881e-07,1.62576e-06
K6-high-r02072,6,high,0.70874,2.53674,1.60386,161.128,102.214,0.193799,0.60498,0.414526,delta_cenp,endpoint,T25_T100,75,8,0.000575484,0.00543424,0.00707221,0.0025004,-0.00533703,0.006488,0.230156,0.824552,0.947837,False,False,7.67312e-06,7.24565e-05
K6-high-r04090,6,high,2.1687,2.68713,1.94663,79.8584,192.478,0.248291,0.770996,0.209741,delta_cenp,endpoint,T25_T100,75,8,0.000723964,0.00287453,0.00433926,0.00153416,-0.00290375,0.00435168,0.471896,0.651357,0.896969,False,False,9.65285e-06,3.83271e-05
K6-high-r06159,6,high,0.974854,2.17957,0.617725,170.405,29.4702,0.0821777,0.443848,0.370142,delta_cenp,endpoint,T25_T100,75,8,0.00562537,0.0158247,0.0210789,0.00745251,-0.011997,0.0232478,0.75483,0.474975,0.827377,False,False,7.5005e-05,0.000210996
K6-high-r08178,6,high,1.9563,2.69519,1.39028,92.29,163.723,0.700928,0.223145,0.381567,delta_cenp,endpoint,T25_T100,75,8,0.00134809,0.00255059,0.00359668,0.00127162,-0.00165881,0.00435499,1.06014,0.324286,0.71249,False,False,1.79745e-05,3.40079e-05
K6-high-r10229,6,high,1.53638,2.85095,2.99604,83.1982,21.4722,0.439014,0.98877,0.1302,delta_cenp,endpoint,T25_T100,75,8,0.000424042,0.00129781,0.00205075,0.000725051,-0.00129043,0.00213851,0.584844,0.577009,0.859973,False,False,5.65389e-06,1.73041e-05
K6-low-r00012,6,low,1.75366,0.721313,2.85894,197.495,16.1401,0.309814,0.741699,0.0893311,delta_cenp,endpoint,T25_T100,75,8,0.000107742,0.000107742,0.00020996,7.42321e-05,-6.77889e-05,0.000283273,1.45142,0.189958,0.650428,False,False,1.43656e-06,1.43656e-06
K6-low-r02027,6,low,2.89624,0.973755,1.26636,137.378,126.589,0.531299,0.972168,0.358276,delta_cenp,endpoint,T25_T100,75,8,0,0,0,0,0,0,0,1,1,False,False,0,0
K6-low-r04112,6,low,1.5437,0.7052,2.62163,32.3584,46.228,0.473291,0.520996,0.322241,delta_cenp,endpoint,T25_T100,75,8,0.000677098,0.00163061,0.00187721,0.000663695,-0.000892291,0.00224649,1.0202,0.341593,0.71249,False,False,9.02798e-06,2.17414e-05
K6-low-r06143,6,low,2.16626,0.616577,1.96772,101.567,170.959,0.19292,0.900879,0.39563,delta_cenp,endpoint,T25_T100,75,8,4.34186e-06,2.47324e-05,5.34877e-05,1.89107e-05,-4.0375e-05,4.90587e-05,0.229597,0.824969,0.947837,False,False,5.78914e-08,3.29765e-07
K6-low-r08201,6,low,2.99146,0.28894,1.05278,21.04,41.8481,0.363428,0.848145,0.361353,delta_cenp,endpoint,T25_T100,75,8,0,0,0,0,0,0,0,1,1,False,False,0,0
K6-low-r10228,6,low,1.75122,0.600464,1.46411,171.704,30.4224,0.141943,0.617676,0.1302,delta_cenp,endpoint,T25_T100,75,8,1.71036e-05,1.71036e-05,4.83761e-05,1.71036e-05,-2.33399e-05,5.7547e-05,1,0.350617,0.71249,False,False,2.28047e-07,2.28047e-07
K6-medium-r00000,6,medium,0.503662,1.28528,1.50894,102.495,113.64,0.759814,0.241699,0.314331,delta_cenp,endpoint,T25_T100,75,8,0.000191804,0.000191804,0.000309679,0.000109488,-6.70934e-05,0.000450702,1.75183,0.123263,0.650428,False,False,2.55739e-06,2.55739e-06
K6-medium-r02040,6,medium,1.33374,1.3175,2.27886,18.6279,53.4644,0.418799,0.35498,0.302026,delta_cenp,endpoint,T25_T100,75,8,0.00285959,0.00940985,0.0140465,0.00496619,-0.0088836,0.0146028,0.57581,0.582773,0.859973,False,False,3.81278e-05,0.000125465
K6-medium-r04088,6,medium,0.918701,1.31213,0.596631,174.858,94.978,0.698291,0.270996,0.389038,delta_cenp,endpoint,T25_T100,75,8,0.00179016,0.00343936,0.00466664,0.00164991,-0.00211125,0.00569157,1.08501,0.313866,0.71249,False,False,2.38688e-05,4.58581e-05
K6-medium-r06128,6,medium,1.54126,1.30408,0.984229,54.0674,24.7095,0.86792,0.650879,0.257642,delta_cenp,endpoint,T25_T100,75,8,-0.00081916,0.00128075,0.00139095,0.000491776,-0.00198202,0.000343704,-1.66572,0.139711,0.650428,False,False,-1.09221e-05,1.70767e-05
K6-medium-r08179,6,medium,2.05396,1.76599,1.99409,168.55,195.906,0.491748,0.766113,0.381567,delta_cenp,endpoint,T25_T100,75,8,-0.00059954,0.00059954,0.000465063,0.000164425,-0.000988342,-0.000210737,-3.64629,0.00821827,0.443786,True,False,-7.99386e-06,7.99386e-06
K6-medium-r10239,6,medium,2.78638,1.47595,1.64604,178.198,118.972,0.889014,0.48877,0.3552,delta_cenp,endpoint,T25_T100,75,8,-9.93612e-05,9.93612e-05,0.000189802,6.71051e-05,-0.000258039,5.93171e-05,-1.48068,0.182239,0.650428,False,False,-1.32482e-06,1.32482e-06
K8-high-r00002,8,high,0.503662,2.09631,1.50894,102.495,113.64,0.759814,0.241699,0.314331,delta_cenp,endpoint,T25_T100,75,8,-1.0274e-05,0.000228121,0.000318411,0.000112575,-0.000276472,0.000255925,-0.0912631,0.92984,1,False,False,-1.36986e-07,3.04161e-06
K8-high-r02072,8,high,0.70874,2.53674,1.60386,161.128,102.214,0.193799,0.60498,0.414526,delta_cenp,endpoint,T25_T100,75,8,-0.00098367,0.00354314,0.00471019,0.00166531,-0.00492149,0.00295415,-0.590684,0.5733,0.859973,False,False,-1.31156e-05,4.72419e-05
K8-high-r04090,8,high,2.1687,2.68713,1.94663,79.8584,192.478,0.248291,0.770996,0.209741,delta_cenp,endpoint,T25_T100,75,8,0.00113562,0.00169807,0.00196159,0.000693527,-0.000504314,0.00277555,1.63745,0.145548,0.650428,False,False,1.51416e-05,2.26409e-05
K8-high-r06159,8,high,0.974854,2.17957,0.617725,170.405,29.4702,0.0821777,0.443848,0.370142,delta_cenp,endpoint,T25_T100,75,8,0.00276584,0.00635112,0.00818005,0.00289208,-0.00407285,0.00960454,0.956349,0.37075,0.715017,False,False,3.68779e-05,8.46816e-05
K8-high-r08178,8,high,1.9563,2.69519,1.39028,92.29,163.723,0.700928,0.223145,0.381567,delta_cenp,endpoint,T25_T100,75,8,-0.000211439,0.00105136,0.00142134,0.00050252,-0.00139971,0.000976832,-0.420758,0.686549,0.896969,False,False,-2.81919e-06,1.40181e-05
