c_stratum,outcome,n_configurations,n_runs,reference_horizon,signal_epsilon,stability_threshold,median_endpoint_abs_change_T25_to_T50,p95_endpoint_abs_change_T25_to_T50,prop_within_threshold_endpoint_abs_change_T25_to_T50,median_tail_abs_change_T25_to_T50,p95_tail_abs_change_T25_to_T50,prop_within_threshold_tail_abs_change_T25_to_T50,median_endpoint_abs_change_T25_to_T100,p95_endpoint_abs_change_T25_to_T100,prop_within_threshold_endpoint_abs_change_T25_to_T100,median_tail_abs_change_T25_to_T100,p95_tail_abs_change_T25_to_T100,prop_within_threshold_tail_abs_change_T25_to_T100
high,delta_cenp,18,144,25,1e-12,0.01,0.0014738296919655002,0.019208047761760605,0.8958333333333334,0.00046500908514384977,0.005650193748574436,0.9861111111111112,0.0014545213535791998,0.01686656436977015,0.8819444444444444,0.0005275546265564499,0.006283312269516976,0.9791666666666666
low,delta_cenp,18,144,25,1e-12,0.01,0.0,0.002600895783503692,0.9930555555555556,2.0617445465664907e-06,0.0008783557098668045,1.0,1.4818766423396745e-06,0.002277766538163989,1.0,2.846404846945649e-06,0.001140270134686785,1.0
medium,delta_cenp,18,144,25,1e-12,0.01,0.0005011564964316499,0.018780405869152972,0.8958333333333334,0.00019894091962603742,0.0061017512485294564,0.9861111111111112,0.0005852419943774505,0.015405674858545512,0.9097222222222222,0.00018196443380075027,0.004602258434441939,0.9861111111111112
high,enp,18,144,25,1e-12,0.01,0.010101425906893446,0.12728179434230633,0.5,0.0031691657890347003,0.045201549988593284,0.7708333333333334,0.010318632615636147,0.10409343868763055,0.5,0.003471786830724799,0.04401256192634302,0.7708333333333334
low,enp,18,144,25,1e-12,0.01,0.0,0.014707443738140966,0.9305555555555556,1.5330503793542505e-05,0.006628590070604611,0.9722222222222222,1.1855013138717396e-05,0.012985658352414069,0.9166666666666666,2.2771238775476377e-05,0.007703786637137876,0.9722222222222222
medium,enp,18,144,25,1e-12,0.01,0.0033112444520884132,0.1053095612960966,0.6597222222222222,0.0013045776160152123,0.04624478227656779,0.8541666666666666,0.0034670486156684888,0.10982742128568959,0.7083333333333334,0.0011536841379440332,0.03134671367183994,0.8263888888888888
high,switching_rate,18,144,25,1e-12,0.01,0.0025000000000000005,0.018000000000000002,0.8819444444444444,0.0009500000000000502,0.0067274999999999835,0.9930555555555556,0.0025000000000000005,0.024425,0.8611111111111112,0.0010499999999999,0.0064674999999999976,0.9791666666666666
low,switching_rate,18,144,25,1e-12,0.01,0.0,0.0045000000000000005,0.9930555555555556,9.999999999999999e-05,0.001234999999999999,1.0,0.0,0.0035,1.0,5.000000000000002e-05,0.0012349999999999998,1.0
medium,switching_rate,18,144,25,1e-12,0.01,0.0005000000000000004,0.020174999999999967,0.9027777777777778,0.0003,0.006627499999999987,0.9791666666666666,0.0005000000000000004,0.01797499999999998,0.8888888888888888,0.0002999999999999999,0.005862500000000015,0.9861111111111112
high,trigger_rate,18,144,25,1e-12,0.01,0.02099999999999999,0.11562500000000003,0.3611111111111111,0.007274999999999976,0.042775,0.5972222222222222,0.017249999999999988,0.10654999999999998,0.3402777777777778,0.007474999999999926,0.06029750000000006,0.5694444444444444
low,trigger_rate,18,144,25,1e-12,0.01,0.0010000000000000009,0.05134999999999993,0.7847222222222222,0.0006250000000000006,0.009227499999999987,0.9513888888888888,0.0010000000000000009,0.035474999999999986,0.8402777777777778,0.0006999999999999992,0.0121425,0.9444444444444444
medium,trigger_rate,18,144,25,1e-12,0.01,0.0050000000000000044,0.07877500000000001,0.6388888888888888,0.0014250000000000027,0.031095,0.8402777777777778,0.004249999999999997,0.05469999999999999,0.75,0.0015500000000000028,0.03375499999999999,0.7847222222222222
