c_stratum,outcome,reference_N,compare_N,signal_epsilon,n_configurations,n_pairs,median_abs_diff,p95_abs_diff,median_abs_diff_tail,p95_abs_diff_tail,mean_seed_sd_at_reference,stability_threshold,prop_within_threshold
high,delta_cenp,2000,5000,1e-12,6,48,0.0005729568285207402,0.0019718979469776346,0.00022768822911833878,0.0008470659678511247,0.0009179403342860721,0.01,1.0
low,delta_cenp,2000,5000,1e-12,6,48,5.130428666899611e-06,5.195632433370177e-05,1.106081571203843e-05,4.508287117691467e-05,1.4599017263712695e-05,0.01,1.0
medium,delta_cenp,2000,5000,1e-12,6,48,0.0002321457610556,0.0010276141666777296,0.00026074684476689995,0.0006829779684760948,0.0005552285814533716,0.01,1.0
high,enp,2000,5000,1e-12,6,48,0.023073907344507205,0.08520153145686363,0.023442624404780954,0.0870085451111831,0.05925579415869558,0.01,0.25
low,enp,2000,5000,1e-12,6,48,0.025601525416957926,0.06257758326097744,0.025836349582138096,0.06265135920557105,0.06424777784542803,0.01,0.16666666666666666
medium,enp,2000,5000,1e-12,6,48,0.04099526666458919,0.10308553504988618,0.04206856759076194,0.10359243837700335,0.11280827929732855,0.01,0.14583333333333334
high,switching_rate,2000,5000,1e-12,6,48,0.0006999999999999998,0.0044,0.0004500000000000501,0.0015949999999999643,0.0016997346309434343,0.01,1.0
low,switching_rate,2000,5000,1e-12,6,48,0.00030000000000000003,0.001,0.00016,0.0007809999999999995,0.00043566577632818556,0.01,1.0
medium,switching_rate,2000,5000,1e-12,6,48,0.0005,0.0013999999999999,0.00046500000000005,0.0009965,0.000881275913682601,0.01,1.0
high,trigger_rate,2000,5000,1e-12,6,48,0.009750000000000036,0.066895,0.005224999999999924,0.01895449999999991,0.025881197058973487,0.01,0.5
low,trigger_rate,2000,5000,1e-12,6,48,0.002850000000000002,0.007200000000000002,0.002879999999999952,0.007858499999999942,0.006001435059924406,0.01,1.0
medium,trigger_rate,2000,5000,1e-12,6,48,0.008899999999999991,0.028264999999999995,0.006210000000000077,0.016476000000000067,0.02616339386481141,0.01,0.5833333333333334
