regime,c,N,n_reps,delta_cenp_mean,delta_cenp_sd,delta_cenp_se,n_chosen
Active A ($c=1.25$),1.25,250,30,0.0757224140188543,0.04416488371724916,0.008063367687176661,2000
Active A ($c=1.25$),1.25,500,30,0.07911924184309564,0.02836471404563568,0.005178664573326094,2000
Active A ($c=1.25$),1.25,1000,30,0.07875194104826265,0.024558403589376474,0.0044837305407391115,2000
Active A ($c=1.25$),1.25,2000,30,0.07866466137486931,0.02818115158808478,0.005145150807088856,2000
Active A ($c=1.25$),1.25,5000,30,0.08774894734291393,0.034478961625054365,0.006294968347132418,2000
Active B ($c=1.5$),1.5,250,30,0.08328456096062035,0.044720663576200505,0.008164838742428222,2000
Active B ($c=1.5$),1.5,500,30,0.10742792451794486,0.05046567723532396,0.00921372993385396,2000
Active B ($c=1.5$),1.5,1000,30,0.09965957844751111,0.032011332884586886,0.005844443038898385,2000
Active B ($c=1.5$),1.5,2000,30,0.09776507632862991,0.04538093174126015,0.008285386665096794,2000
Active B ($c=1.5$),1.5,5000,30,0.10677839160020171,0.03687250159689969,0.00673196695875574,2000
Diffuse ($c=2.5$),2.5,250,30,0.14612139653044917,0.056846664830118465,0.010378733548797156,2000
Diffuse ($c=2.5$),2.5,500,30,0.14641945167116413,0.07476051591736099,0.013649340326220881,2000
Diffuse ($c=2.5$),2.5,1000,30,0.1573813304055628,0.07270342896644821,0.013273769350966063,2000
Diffuse ($c=2.5$),2.5,2000,30,0.16275363427926068,0.08841278455219236,0.01614189215702668,2000
Diffuse ($c=2.5$),2.5,5000,30,0.1795583769415865,0.06786237237532829,0.012389917385260914,2000
Low ($c=0.5$),0.5,250,30,0.0010398691635315298,0.0007306018411761151,0.00013338903632232162,2000
Low ($c=0.5$),0.5,500,30,0.0010293619700685985,0.0006518548847008919,0.00011901187485686922,2000
Low ($c=0.5$),0.5,1000,30,0.001008139537894052,0.00038737110314082527,7.072396377196343e-05,2000
Low ($c=0.5$),0.5,2000,30,0.0011266848706089146,0.00021739307698361073,3.969036403646025e-05,2000
Low ($c=0.5$),0.5,5000,30,0.0011207213096560069,0.0002952503298549224,5.390508859079399e-05,2000
