config,eps,n_reps,delta_cenp_mean,delta_cenp_sd,trigger_rate_mean,cond_switching_mean,total_switching_mean
"Baseline, theta=0.3",1e-06,10,0.0009581686218166907,0.00032623446919492,0.0529,0.2630468163342765,0.013800000000000002
"Baseline, theta=0.3",0.0001,10,0.0009581686218166907,0.00032623446919492,0.0529,0.2630468163342765,0.013800000000000002
"Baseline, theta=0.3",0.001,10,0.0009581686218166907,0.00032623446919492,0.0529,0.2630468163342765,0.013800000000000002
"Baseline, theta=0.3",0.01,10,0.0009581686218166907,0.00032623446919492,0.0529,0.2630468163342765,0.013800000000000002
"Baseline, theta=0.3",0.1,10,0.0009581686218166907,0.00032623446919492,0.0529,0.2630468163342765,0.013800000000000002
"Baseline, theta=1.0",1e-06,10,0.0009189152716807647,0.00031312015015487417,0.0529,0.26517447590874454,0.013900000000000001
"Baseline, theta=1.0",0.0001,10,0.0009189152716807647,0.00031312015015487417,0.0529,0.26517447590874454,0.013900000000000001
"Baseline, theta=1.0",0.001,10,0.0009189152716807647,0.00031312015015487417,0.0529,0.26517447590874454,0.013900000000000001
"Baseline, theta=1.0",0.01,10,0.0009189152716807647,0.00031312015015487417,0.0529,0.26517447590874454,0.013900000000000001
"Baseline, theta=1.0",0.1,10,0.0009189152716807647,0.00031312015015487417,0.0529,0.26517447590874454,0.013900000000000001
"Sweet-spot, theta=0.3",1e-06,10,0.10913652360150754,0.02914234566339608,0.344,0.2795262121377788,0.0975
"Sweet-spot, theta=0.3",0.0001,10,0.10913652360150754,0.02914234566339608,0.344,0.2795262121377788,0.0975
"Sweet-spot, theta=0.3",0.001,10,0.10913652360150754,0.02914234566339608,0.344,0.2795262121377788,0.0975
"Sweet-spot, theta=0.3",0.01,10,0.10913652360150754,0.02914234566339608,0.344,0.2795262121377788,0.0975
"Sweet-spot, theta=0.3",0.1,10,0.10913652360150754,0.02914234566339608,0.344,0.2795262121377788,0.0975
"Sweet-spot, theta=1.0",1e-06,10,0.1075241671335817,0.03666749372211751,0.3316,0.2661820859483967,0.09079999999999999
"Sweet-spot, theta=1.0",0.0001,10,0.1075241671335817,0.03666749372211751,0.3316,0.2661820859483967,0.09079999999999999
"Sweet-spot, theta=1.0",0.001,10,0.1075241671335817,0.03666749372211751,0.3316,0.2661820859483967,0.09079999999999999
"Sweet-spot, theta=1.0",0.01,10,0.1075241671335817,0.03666749372211751,0.3316,0.2661820859483967,0.09079999999999999
"Sweet-spot, theta=1.0",0.1,10,0.1075241671335817,0.03666749372211751,0.3316,0.2661820859483967,0.09079999999999999
