theta,party,sincere_share,transformed_share,enp_sincere,enp_transformed,delta_enp,shown_in_figure
0.3,1,0.05,0.0021914026178903507,5.767012687427912,2.9374871544938794,-2.8295255329340327,True
0.3,2,0.07,0.0067269101723901195,5.767012687427912,2.9374871544938794,-2.8295255329340327,True
0.3,3,0.18,0.1566981414035898,5.767012687427912,2.9374871544938794,-2.8295255329340327,True
0.3,4,0.25,0.4684057207346239,5.767012687427912,2.9374871544938794,-2.8295255329340327,True
0.3,5,0.22,0.30588940242515955,5.767012687427912,2.9374871544938794,-2.8295255329340327,True
0.3,6,0.13,0.052962279554975074,5.767012687427912,2.9374871544938794,-2.8295255329340327,True
0.3,7,0.07,0.0067269101723901195,5.767012687427912,2.9374871544938794,-2.8295255329340327,True
0.3,8,0.03,0.0003992329189811452,5.767012687427912,2.9374871544938794,-2.8295255329340327,True
0.5,1,0.05,0.01441753171898019,5.767012687427912,3.9359257310446787,-1.8310869563832335,False
0.5,2,0.07,0.028258362168878226,5.767012687427912,3.9359257310446787,-1.8310869563832335,False
0.5,3,0.18,0.18685121107258534,5.767012687427912,3.9359257310446787,-1.8310869563832335,False
0.5,4,0.25,0.36043829296297064,5.767012687427912,3.9359257310446787,-1.8310869563832335,False
0.5,5,0.22,0.279123414070829,5.767012687427912,3.9359257310446787,-1.8310869563832335,False
0.5,6,0.13,0.09746251441790701,5.767012687427912,3.9359257310446787,-1.8310869563832335,False
0.5,7,0.07,0.028258362168878226,5.767012687427912,3.9359257310446787,-1.8310869563832335,False
0.5,8,0.03,0.005190311418971276,5.767012687427912,3.9359257310446787,-1.8310869563832335,False
0.7,1,0.05,0.030180209078454544,5.767012687427912,4.796142578968431,-0.9708701084594811,False
0.7,2,0.07,0.04880637818191687,5.767012687427912,4.796142578968431,-0.9708701084594811,False
0.7,3,0.18,0.1881222231120148,5.767012687427912,4.796142578968431,-0.9708701084594811,False
0.7,4,0.25,0.3007812928357997,5.767012687427912,4.796142578968431,-0.9708701084594811,False
0.7,5,0.22,0.25057650839193135,5.767012687427912,4.796142578968431,-0.9708701084594811,False
0.7,6,0.13,0.11817927262033003,5.767012687427912,4.796142578968431,-0.9708701084594811,False
0.7,7,0.07,0.04880637818191687,5.767012687427912,4.796142578968431,-0.9708701084594811,False
0.7,8,0.03,0.014547737597635729,5.767012687427912,4.796142578968431,-0.9708701084594811,False
1.0,1,0.05,0.0500000000006,5.767012687427912,5.767012687453668,2.575539781446423e-11,True
1.0,2,0.07,0.07000000000044002,5.767012687427912,5.767012687453668,2.575539781446423e-11,True
1.0,3,0.18,0.17999999999955998,5.767012687427912,5.767012687453668,2.575539781446423e-11,True
1.0,4,0.25,0.24999999999899997,5.767012687427912,5.767012687453668,2.575539781446423e-11,True
1.0,5,0.22,0.21999999999924,5.767012687427912,5.767012687453668,2.575539781446423e-11,True
1.0,6,0.13,0.12999999999996,5.767012687427912,5.767012687453668,2.575539781446423e-11,True
1.0,7,0.07,0.07000000000044002,5.767012687427912,5.767012687453668,2.575539781446423e-11,True
1.0,8,0.03,0.030000000000759995,5.767012687427912,5.767012687453668,2.575539781446423e-11,True
1.5,1,0.05,0.07110751768979172,5.767012687427912,6.706267928982273,0.9392552415543607,False
1.5,2,0.07,0.08898856600844617,5.767012687427912,6.706267928982273,0.9392552415543607,False
1.5,3,0.18,0.16702591202695646,5.767012687427912,6.706267928982273,0.9392552415543607,False
1.5,4,0.25,0.20791964304301833,5.767012687427912,6.706267928982273,0.9392552415543607,False
1.5,5,0.22,0.19093430688214175,5.767012687427912,6.706267928982273,0.9392552415543607,False
1.5,6,0.13,0.13445111762680403,5.767012687427912,6.706267928982273,0.9392552415543607,False
1.5,7,0.07,0.08898856600844617,5.767012687427912,6.706267928982273,0.9392552415543607,False
1.5,8,0.03,0.05058437071439541,5.767012687427912,6.706267928982273,0.9392552415543607,False
2.0,1,0.05,0.08344088583975229,5.767012687427912,7.181450844842945,1.4144381574150326,False
2.0,2,0.07,0.09872858755981423,5.767012687427912,7.181450844842945,1.4144381574150326,False
2.0,3,0.18,0.1583179495402818,5.767012687427912,7.181450844842945,1.4144381574150326,False
2.0,4,0.25,0.18657949283899308,5.767012687427912,7.181450844842945,1.4144381574150326,False
2.0,5,0.22,0.17502707873442291,5.767012687427912,7.181450844842945,1.4144381574150326,False
2.0,6,0.13,0.13454438567645954,5.767012687427912,7.181450844842945,1.4144381574150326,False
2.0,7,0.07,0.09872858755981423,5.767012687427912,7.181450844842945,1.4144381574150326,False
2.0,8,0.03,0.06463303225046187,5.767012687427912,7.181450844842945,1.4144381574150326,False
3.0,1,0.05,0.09673877371514239,5.767012687427912,7.5982637085085685,1.8312510210806563,True
3.0,2,0.07,0.10822059642543815,5.767012687427912,7.5982637085085685,1.8312510210806563,True
3.0,3,0.18,0.14826366955148443,5.767012687427912,7.5982637085085685,1.8312510210806563,True
3.0,4,0.25,0.16542097616301113,5.767012687427912,7.5982637085085685,1.8312510210806563,True
3.0,5,0.22,0.15852026999246102,5.767012687427912,7.5982637085085685,1.8312510210806563,True
3.0,6,0.13,0.13302247597407682,5.767012687427912,7.5982637085085685,1.8312510210806563,True
3.0,7,0.07,0.10822059642543815,5.767012687427912,7.5982637085085685,1.8312510210806563,True
3.0,8,0.03,0.08159264175294799,5.767012687427912,7.5982637085085685,1.8312510210806563,True
