regime,c,K,tau_hat,mu,n_reps,cond_sw_mean,cond_sw_se
Active ($c=1.5$),1.5,8,1.75,0.0,30,1.0,0.0
Active ($c=1.5$),1.5,8,1.75,0.05,30,0.9121265172837496,0.019415725722090015
Active ($c=1.5$),1.5,8,1.75,0.1,30,0.594542321601797,0.03071896680139271
Active ($c=1.5$),1.5,8,1.75,0.2,30,0.1644047053074633,0.011564513230127185
Active ($c=1.5$),1.5,8,1.75,0.3,30,0.06738956348322443,0.006313625978217049
Active ($c=1.5$),1.5,8,1.75,0.5,30,0.023939005574795082,0.002564489625662949
Active ($c=1.5$),1.5,8,1.75,0.7,30,0.01727089011113657,0.0020363036251937524
Active ($c=1.5$),1.5,8,1.75,1.0,30,0.012419612978402734,0.001912038357195436
Low ($c=0.5$),0.5,8,1.75,0.0,30,0.9814052795031055,0.010425904772668785
Low ($c=0.5$),0.5,8,1.75,0.05,30,0.35041801232665454,0.01935188886070891
Low ($c=0.5$),0.5,8,1.75,0.1,30,0.12946931225458863,0.01413204528180087
Low ($c=0.5$),0.5,8,1.75,0.2,30,0.04116518901054923,0.00852672985039236
Low ($c=0.5$),0.5,8,1.75,0.3,30,0.010588227271953332,0.003697106176352487
Low ($c=0.5$),0.5,8,1.75,0.5,30,0.0051474010915229,0.0019282518009193198
Low ($c=0.5$),0.5,8,1.75,0.7,30,0.004530117140905616,0.0016655817212720895
Low ($c=0.5$),0.5,8,1.75,1.0,30,0.001634768740031898,0.001119958152115783
