K,outcome,parameter,S1,S1_conf,ST,ST_conf,n_base,n_evaluations
6,cond_switching,alpha,0.007233374671568041,0.03475267946044167,0.1238814817124132,0.03593390607139935,1024,10240
6,cond_switching,c,0.018982315153894758,0.03242423383695757,0.32335573353856006,0.08541532885038258,1024,10240
6,cond_switching,epsilon,-0.014953152146277673,0.043565553726485344,0.17067773837482605,0.06046738591933695,1024,10240
6,cond_switching,mu,0.5134496525801623,0.1717119334317177,0.8886227108861628,0.1558272974624141,1024,10240
6,cond_switching,rho_pi,-1.9838949476860564e-05,0.03211893241200297,0.10172643378606781,0.03097177163873141,1024,10240
6,cond_switching,rho_s,0.008761072060792121,0.03127501420246764,0.14122081609866025,0.053171892756051616,1024,10240
6,cond_switching,tau_hat,0.10138983382638837,0.05046654778617373,0.537611219608367,0.09779698779137923,1024,10240
6,cond_switching,theta,-0.035736519444812036,0.04456249828265083,0.19248665254358063,0.05549948471046409,1024,10240
6,delta_cenp,alpha,-0.0028734135768371276,0.051404215022109914,0.26270336601709526,0.08480057233493477,1024,10240
6,delta_cenp,c,0.03869321323891745,0.0471940296635426,0.5442112238234847,0.21651153371161672,1024,10240
6,delta_cenp,epsilon,-0.04759706378759949,0.09939487605477032,0.38838688111206315,0.15149956551125054,1024,10240
6,delta_cenp,mu,0.09478839594069453,0.07147476882322884,0.6208218332404539,0.1979265466044129,1024,10240
6,delta_cenp,rho_pi,-0.0361056999486235,0.0323208774199504,0.30757827658536135,0.11897554857559713,1024,10240
6,delta_cenp,rho_s,-0.011991819113983723,0.04096793168167947,0.32817040287778265,0.16107177228191139,1024,10240
6,delta_cenp,tau_hat,0.14667082194670017,0.07662009815382412,0.6105720877934133,0.18853517776218537,1024,10240
6,delta_cenp,theta,-0.055941373644870784,0.09995916868858792,0.458014892141409,0.21029421384273306,1024,10240
6,enp_final,alpha,0.0009432199102739639,0.006943473576695658,0.006637294031690341,0.0013061420387987905,1024,10240
6,enp_final,c,0.9303302289055824,0.07072368297455867,0.9741761959277979,0.06649981782378749,1024,10240
6,enp_final,epsilon,0.03157738250172673,0.02367175115204573,0.08347002405859182,0.011474627596809,1024,10240
6,enp_final,mu,0.006942030026592558,0.008752180238492264,0.011079602782318593,0.0025373872823841676,1024,10240
6,enp_final,rho_pi,-0.0017924515622670836,0.006437015360634856,0.0070766092633652595,0.0015383538139429676,1024,10240
6,enp_final,rho_s,0.00011467092406871282,0.007274324848992997,0.007435759143195547,0.002199848986725353,1024,10240
6,enp_final,tau_hat,0.005599532767708303,0.007839548940654676,0.011134934433939434,0.0028234167535907168,1024,10240
6,enp_final,theta,0.0005373375404196569,0.007479921275263392,0.009103165537149188,0.0028809607538682913,1024,10240
6,total_switching,alpha,0.0015702054555020342,0.027704591978016984,0.16502026837657555,0.08333537970846945,1024,10240
6,total_switching,c,0.028958095514646277,0.04867200177731041,0.2739076476459987,0.07904907036543932,1024,10240
6,total_switching,epsilon,-0.018646290304832953,0.04102762865892867,0.18996775145541006,0.06259606545690773,1024,10240
6,total_switching,mu,0.2962671273477474,0.09242114387195853,0.6381967863741547,0.14269736614755915,1024,10240
6,total_switching,rho_pi,-0.025374296046620847,0.027962997498633874,0.15535043562510187,0.04690204218726721,1024,10240
6,total_switching,rho_s,-0.004284120931544633,0.02356463015064318,0.14579919856536658,0.04093267051440712,1024,10240
6,total_switching,tau_hat,0.25162583008497097,0.07155678418550084,0.5604500203369301,0.10643039555388241,1024,10240
6,total_switching,theta,-0.030079846919069182,0.041501871722950986,0.1920023665167162,0.06462506580966476,1024,10240
6,trigger_rate,alpha,0.015400418800017204,0.020929137111538945,0.059542042304825196,0.011328699503295717,1024,10240
6,trigger_rate,c,0.2054786073233598,0.040033308694376116,0.3149787221776977,0.03994489772196174,1024,10240
6,trigger_rate,epsilon,0.025312596982518212,0.02767291315487703,0.08905644788659901,0.015864235141944755,1024,10240
6,trigger_rate,mu,0.004417318126376213,0.018403271234894387,0.060053008046408715,0.01039484161566715,1024,10240
6,trigger_rate,rho_pi,0.00921580541968054,0.020565804266683425,0.06401876640854219,0.012054313945200018,1024,10240
