run,tau_hat,c,theta,rho_s,rho_pi,alpha,mu,epsilon,delta_cenp,trigger_rate,cond_switching,total_switching,enp_final
0,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.0,0.568,0.0,0.0,6.146413721253991
1,2.241943359375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.004544779273219279,0.139,0.08992805755395683,0.0125,6.042004011890663
2,0.503662109375,2.0963134765625,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.0003720877956447932,0.7745,0.0025823111684958036,0.002,8.318706274800142
3,0.503662109375,1.2852783203125,2.518798828125,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,-0.0002667795098902914,0.69,0.0007246376811594203,0.0005,6.3170994406208445
4,0.503662109375,1.2852783203125,1.508935546875,185.0634765625,113.64013671875,0.7598144531250001,0.24169921875,0.3143310546875,0.0009593538637351351,0.5685,0.003518029903254178,0.002,6.222059066006713
5,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,142.77587890625,0.7598144531250001,0.24169921875,0.3143310546875,0.001337602102959523,0.569,0.0035149384885764497,0.002,6.434840802038558
6,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.304541015625,0.24169921875,0.3143310546875,0.0,0.5575,0.0,0.0,6.187984789933385
7,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.13232421875,0.3143310546875,0.000741193107593574,0.5525,0.0036199095022624436,0.002,6.132824717736742
8,0.503662109375,1.2852783203125,1.508935546875,102.4951171875,113.64013671875,0.7598144531250001,0.24169921875,0.4356201171875,0.0004487421743476494,0.616,0.003246753246753247,0.002,6.718059824322736
9,2.241943359375,2.0963134765625,2.518798828125,185.0634765625,142.77587890625,0.304541015625,0.13232421875,0.4356201171875,0.01145799278165649,0.2915,0.10634648370497427,0.031,8.332048809141924
10,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,0.00010513034737802407,0.363,0.015151515151515152,0.0055,8.55143044052694
11,0.991943359375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,0.001481303701747816,0.6165,0.055150040551500405,0.034,8.600190064200419
12,1.753662109375,0.7213134765625,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,2.5249019067752343e-06,0.0535,0.009345794392523364,0.0005,3.1779778844519013
13,1.753662109375,2.6602783203125,1.1687988281250001,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,0.0010279481457771134,0.3425,0.0072992700729927005,0.0025,8.545657310596187
14,1.753662109375,2.6602783203125,2.858935546875,90.0634765625,16.14013671875,0.309814453125,0.74169921875,0.0893310546875,-0.00048915653288506,0.345,0.008695652173913044,0.003,8.594683328892748
15,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,45.27587890625,0.309814453125,0.74169921875,0.0893310546875,0.0006579736449046081,0.391,0.0076726342710997444,0.003,8.607703894986013
16,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.754541015625,0.74169921875,0.0893310546875,-9.90788001131726e-05,0.402,0.026119402985074626,0.0105,8.688814454711727
17,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.63232421875,0.0893310546875,-0.0004127098922659389,0.344,0.011627906976744186,0.004,8.615305089491478
18,1.753662109375,2.6602783203125,2.858935546875,197.4951171875,16.14013671875,0.309814453125,0.74169921875,0.2106201171875,-0.0006062283420225079,0.3565,0.008415147265077139,0.003,8.741717222931273
19,0.991943359375,0.7213134765625,1.1687988281250001,90.0634765625,45.27587890625,0.754541015625,0.63232421875,0.2106201171875,0.004561083625061357,0.204,0.06372549019607843,0.013,3.5943231260547073
20,2.378662109375,0.5977783203125,0.833935546875,54.9951171875,64.89013671875,0.08481445312500001,0.49169921875,0.2018310546875,0.0,0.082,0.0,0.0,3.1193121292892494
21,1.616943359375,0.5977783203125,0.833935546875,54.9951171875,64.89013671875,0.08481445312500001,0.49169921875,0.2018310546875,5.011191413406557e-05,0.1005,0.01990049751243781,0.002,3.089318372794226
22,2.378662109375,1.4088134765625,0.833935546875,54.9951171875,64.89013671875,0.08481445312500001,0.49169921875,0.2018310546875,0.0009517679109418697,0.1165,0.02145922746781116,0.0025,5.947212541481805
23,2.378662109375,0.5977783203125,0.493798828125,54.9951171875,64.89013671875,0.08481445312500001,0.49169921875,0.2018310546875,0.0,0.0685,0.0,0.0,3.1391605570754324
24,2.378662109375,0.5977783203125,0.833935546875,42.5634765625,64.89013671875,0.08481445312500001,0.49169921875,0.2018310546875,0.0,0.071,0.0,0.0,3.1985977347530836
25,2.378662109375,0.5977783203125,0.833935546875,54.9951171875,191.52587890625,0.08481445312500001,0.49169921875,0.2018310546875,0.0,0.0715,0.0,0.0,3.255293106591317
26,2.378662109375,0.5977783203125,0.833935546875,54.9951171875,64.89013671875,0.079541015625,0.49169921875,0.2018310546875,1.1171243524121799e-05,0.0775,0.012903225806451613,0.001,3.1511446532953102
27,2.378662109375,0.5977783203125,0.833935546875,54.9951171875,64.89013671875,0.08481445312500001,0.88232421875,0.2018310546875,3.484277947940484e-06,0.0725,0.013793103448275862,0.001,3.0481671371004606
28,2.378662109375,0.5977783203125,0.833935546875,54.9951171875,64.89013671875,0.08481445312500001,0.49169921875,0.3231201171875,0.00016330077249004926,0.118,0.05084745762711865,0.006,4.040395877988126
29,1.616943359375,1.4088134765625,0.493798828125,42.5634765625,191.52587890625,0.079541015625,0.88232421875,0.3231201171875,0.005930050154482336,0.286,0.033216783216783216,0.0095,6.699628840562233
30,1.128662109375,1.9727783203125,2.183935546875,149.9951171875,162.39013671875,0.534814453125,0.99169921875,0.4268310546875,0.004865799001630977,0.4815,0.023883696780893044,0.0115,8.303061754021796
31,2.866943359375,1.9727783203125,2.183935546875,149.9951171875,162.39013671875,0.534814453125,0.99169921875,0.4268310546875,0.0,0.1385,0.0,0.0,8.388100640431482
32,1.128662109375,2.7838134765625,2.183935546875,149.9951171875,162.39013671875,0.534814453125,0.99169921875,0.4268310546875,0.0006894936676453689,0.5455,0.02841429880843263,0.0155,8.8741380993371
